WKT,name,description,nome,latitudine,longitudine
"POLYGON ((9.109397 45.432546, 9.109371 45.432543, 9.109355 45.432536, 9.109342 45.432525, 9.109334 45.43251, 9.10933 45.432497, 9.109327 45.432482, 9.109327 45.432468, 9.109334 45.432461, 9.109351 45.432461, 9.109365 45.432463, 9.109375 45.432458, 9.109393 45.43245, 9.109417 45.432446, 9.109446 45.432451, 9.109464 45.432463, 9.109471 45.432474, 9.109473 45.432493, 9.109469 45.432513, 9.109428 45.432506, 9.109409 45.432549, 9.109397 45.432546))",Fontana Corsico,,,45.432546,9.109397
POINT (9.0460717 45.5292134),Fontana Rho,,,45.5292134,9.0460717
"POLYGON ((9.0459101 45.5292153, 9.0459866 45.5291993, 9.0459919 45.5291754, 9.0460201 45.5291585, 9.046067 45.529143, 9.0461173 45.5291453, 9.0461341 45.5291566, 9.0461555 45.5291674, 9.0462353 45.5291543, 9.0461582 45.5293422, 9.0459839 45.5293168, 9.0457975 45.5292886, 9.0459101 45.5292153))",Fontana Rho,,,45.5292153,9.0459101
POINT (9.0321038 45.4062794),Gaggiano Ponte Naviglio Grande,some water challenges,,45.4062794,9.0321038
"POLYGON ((9.0322125 45.4064884, 9.0321199 45.4064884, 9.0319576 45.406415, 9.0319737 45.4063726, 9.0320395 45.4063773, 9.0320287 45.4063199, 9.0319818 45.406302, 9.0320542 45.4062813, 9.0320609 45.40622, 9.0319925 45.4061946, 9.0320153 45.4061137, 9.0321669 45.4061259, 9.0322004 45.4062332, 9.0321695 45.406415, 9.0322084 45.4064197, 9.0322125 45.4064884))",Gaggiano Ponte Naviglio Grande,,,45.4064884,9.0322125
POINT (9.169261 45.485571 0.0),Gerusalemme,,,45.485571,9.169261
"POLYGON ((9.168896 45.485639, 9.169183 45.48536, 9.169524 45.485532, 9.169519 45.485586, 9.169296 45.485821, 9.168896 45.485639))",Gerusalemme,,,45.485639,9.168896
POINT (9.1969654 45.4827763),Gioia,,,45.4827763,9.1969654
"POLYGON ((9.196475 45.482957, 9.196413 45.48282, 9.196974 45.482703, 9.197043 45.482867, 9.196483 45.482983, 9.196475 45.482957))",Gioia,,,45.482957,9.196475
POINT (9.1947793 45.5023212),Istria Parcheggio,,,45.5023212,9.1947793
,,,,,
"POLYGON ((9.1946264 45.5021652, 9.1946573 45.5020862, 9.1948866 45.5021361, 9.1949282 45.5021925, 9.1949255 45.5022564, 9.1948665 45.5023043, 9.1947941 45.5023165, 9.1947176 45.5023109, 9.1946787 45.5022902, 9.1947163 45.502184, 9.1946264 45.5021652))",Istria Parcheggio ,,,45.5021652,9.1946264
,,,,,
POINT (9.182689 45.472347 0.0),Lanza,,,45.472347,9.182689
"POLYGON ((9.182735 45.472535, 9.182805 45.472318, 9.182743 45.472275, 9.182746 45.472253, 9.182875 45.472273, 9.182792 45.47255, 9.182735 45.472535))",Lanza,,,45.472535,9.182735
POINT (9.196377 45.5032819),Largo Desio,,,45.5032819,9.196377
"POLYGON ((9.196444 45.503315, 9.196366 45.50332, 9.196329 45.503131, 9.196418 45.503129, 9.196444 45.503315))",Largo Desio,,,45.503315,9.196444
POINT (9.174736 45.437888 0.0),Lil Bridge,,,45.437888,9.174736
"POLYGON ((9.174619 45.437863, 9.174604 45.437791, 9.174638 45.437789, 9.174641 45.437804, 9.17478 45.437811, 9.174772 45.437796, 9.17481 45.437791, 9.174827 45.437854, 9.174796 45.43786, 9.174794 45.43785, 9.174646 45.437842, 9.174656 45.43786, 9.174619 45.437863))",Lil Bridge,,,45.437863,9.174619
POINT (9.4182182 45.4983896),Melzo Arcadia,,,45.4983896,9.4182182
