WKT,name,description,latitudine,longitudine
"GEOMETRYCOLLECTION (POLYGON ((9.191394 45.486833, 9.191281 45.487354, 9.191233 45.487349, 9.191348 45.486829, 9.191394 45.486833)), POLYGON ((9.191394 45.486833, 9.191394 45.486832, 9.191572 45.486848, 9.191572 45.48685, 9.191394 45.486833)), POLYGON ((9.191572 45.48685, 9.19163 45.486855, 9.191583 45.48708, 9.191559 45.487078, 9.191482 45.487438, 9.191442 45.487432, 9.191508 45.487109, 9.19152 45.48711, 9.191524 45.487086, 9.191572 45.48685)))",Isola,,,
POINT (9.183398 45.485242 0.0),Hotel Garibaldi,,45.485242,9.183398
"POLYGON ((9.183172 45.485193, 9.183172 45.485099, 9.183682 45.485102, 9.183671 45.4852, 9.183172 45.485193))",Hotel Garibaldi,,45.485193,9.183172
POINT (9.185122 45.501314 0.0),Maciachini,,45.501314,9.185122
"GEOMETRYCOLLECTION (POLYGON ((9.183687 45.501985, 9.183674 45.502022, 9.18359 45.502007, 9.183601 45.50197, 9.183687 45.501985)), POLYGON ((9.184958 45.50127, 9.184995 45.5012, 9.18532 45.501244, 9.185282 45.50134, 9.184958 45.50127)), POLYGON ((9.183507 45.502103, 9.183619 45.502146, 9.183673 45.502272, 9.183426 45.5023, 9.183381 45.502238, 9.18323 45.502231, 9.183252 45.502086, 9.183507 45.502103)), POLYGON ((9.184183 45.50111, 9.183868 45.501999, 9.183693 45.50195, 9.183621 45.501899, 9.183531 45.501826, 9.183442 45.501796, 9.183426 45.501712, 9.183504 45.501684, 9.18363 45.501719, 9.183788 45.50186, 9.183906 45.50189, 9.184183 45.50111)))",Maciachini,,,
POINT (9.4191195 45.5021213),Melzo Stazione,,45.5021213,9.4191195
"GEOMETRYCOLLECTION (POLYGON ((9.4195575 45.5018906, 9.4195795 45.5018408, 9.42058 45.5020232, 9.4205532 45.5020758, 9.4195575 45.5018906)), POLYGON ((9.4195575 45.5018906, 9.4194508 45.5021322, 9.4194496 45.502132, 9.4195527 45.5018897, 9.4195575 45.5018906)), POLYGON ((9.4194496 45.502132, 9.4194495 45.5021322, 9.4197371 45.5022013, 9.419717 45.5022398, 9.419308 45.5021722, 9.4192744 45.5022455, 9.418797 45.5021552, 9.4188198 45.5020904, 9.4185771 45.5020443, 9.4185945 45.5019945, 9.4194496 45.502132)))",Melzo Stazione,,,
POINT (9.265322 45.6018557),Monza Fontana,,45.6018557,9.265322
"POLYGON ((9.2655593 45.6018098, 9.2654976 45.6020303, 9.2652294 45.6019909, 9.2652348 45.6019618, 9.2650497 45.6019364, 9.2650832 45.6018107, 9.2649209 45.6017854, 9.2650363 45.6017422, 9.2655593 45.6018098))",Monza Fontana,,45.6018098,9.2655593
POINT (9.202301 45.513905 0.0),Muri Bianchi Bicocca,,45.513905,9.202301
